Region,Site,Lat,Lon,coreNo,soilNo,bp,rcybp,event,subsidence,Uncertainty,source,quality,method
Washington ,Willapa Bay,,,,3,1537-1860,1765plusMinus64,T5,1.2,1.10,8,3,"Triglochin, m ac; pm be"
Washington ,Willapa Bay,46.612,123.892,,1,,,T1,1.3,0.50,15,1,tf/ lowest Im ac; Spruce be
Washington ,Willapa Bay,46.596,124.038,,1,,,T1,1.15,0.75,7,3,rm ac; mp be
Washington ,Willapa Bay,46.380,124.016,,1,,,T1,1.15,0.75,7,3,rm ac; mp be
Washington ,Willapa Bay,46.354,123.993,Be-I,1,335-650,500plusMinus60,T1,2.2,1.00,8,3,"m ac; Spruce, p be"
Washington ,Willapa Bay,,,,2,930-1220,1130plusMinus60,T4,2,1.20,8,3,"m ac; Spruce, pm/m be"
Washington ,Willapa Bay,,,,3,1625-2050,1910plusMinus80,T5,0.1,0.50,8,3,"Triglochin, m ac; m be"
Washington ,Willapa Bay,,,,4,2360-2730,2487plusMinus56,T6,1.15,0.75,8,3,"Triglochin, rm ac; pm be"
Oregon,Columbia River,46.335,123.699,De-u,1,0-286,150plusMinus50,T1,1.85,0.50,8,3,"m ac; Spruce, pm be"
Oregon,Columbia River,,,,2,,,T3,1.4,0.60,8,3,m ac; pm be
Oregon,Columbia River,,,,3,1086-1389,1350plusMinus70,T4,1.7,0.50,8,3,"Carex, m ac; p be"
Oregon,Columbia River,46.331,123.696,De-I,1,0-423,180plusMinus70,T1,1.85,0.50,8,3,"m ac; Spruce, pm be"
Oregon,Columbia River,,,,2,741-931,936plusMinus50,T3,1.85,0.50,8,3,"m ac; Willow?, pm and m be"
Oregon,Columbia River,,,,3,1094-1337,1321plusMinus52,T4,1.1,0.70,8,3,"Carex, m ac; pm be"
Oregon,Columbia River,46.323,123.664,Gr,1,571-960,850plusMinus100,T3,2.1,0.50,8,3,"m ac; Spruce, p be"
Oregon,Columbia River,,,,2,1310-1602,1560plusMinus70,T4,2.1,0.50,8,3,m ac; p be
Oregon,Columbia River,,,,3,1420-1821,1720plusMinus70,T5,1.7,0.50,8,3,"Phragmites (reed), m ac; p be"
Oregon,Columbia River,46.253,123.447,Price Island,1,,,T1,1.1,0.70,10,3,rm ac; pm ac
Oregon,Columbia River,46.252,123.445,Price Island,1,,,T1,0.8,0.70,"10,17",2,"Spruce, pm ac; Spruce, mp be"
Oregon,Columbia River,46.227,123.420,Hunting Island,1,0-470,240plusMinus60,T1,0.5,0.40,"10,17",3,"Scirpus, rm ac; slpm be"
Oregon,Columbia River,46.200,123.573,Blind Slough 1,1,,,T1,2.1,0.50,"10,18",3,"m ac; Spruce, p be"
Oregon,Columbia River,46.200,123.572,Blind Slough 2,1,,,T1,1.7,0.50,"10,18",3,"rm ac; Spruce, mp be"
Oregon,Columbia River,46.177,123.748,John Day R.,1,,,T1,1.7,0.50,10,3,"rm ac; Spruce, mp be"
Oregon,Columbia River,46.177,123.748,John Day R.,1,,,T1,1.6,0.50,10,3,rm ac; mp be
Oregon,Columbia River,46.177,123.750,John Day R.,1,,,T1,1.7,0.50,10,3,"TS. rm ac; Spruce, mp be"
Oregon,Columbia River,46.155,123.862,Warrenton,1,,,T1,1.7,0.50,"10,19",3,rm ac; p be
Oregon,Columbia River,46.143,123.790,Wallooskee R.,1,,,T1,1.3,0.60,10,3,"slpm ac; Spruce, pm be"
Oregon,Columbia River,46.132,123.875,Lewis&Clark R.,,929-1062,1080plusMinus40,T3,,,16,-,no data
Oregon,Columbia River,46.118,123.873,Lewis&Clark R.,,1295-1374,1431plusMinus28,T4,,,16,-,no data
Oregon,Columbia River,46.118,123.861,Lewis&Clark R.,,1540-1693,1698plusMinus24,T5,,,16,-,no data
Oregon,Columbia River,46.118,123.873,Lewis&Clark R.,,2365-2713,2472plusMinus29,T6,,,16,-,no data
Oregon,Columbia River,46.118,123.873,Lewis&Clark R.,,2898-3143,2886plusMinus29,T7,,,16,-,no data
Oregon,Necanicum River Estuary,46.005,123.912,Neawanna8,1,,,T1,0.9,0.50,"10,20",3,TS. rm ac; pm be
Oregon,Necanicum River Estuary,45.988,123.913,Neawanna12th,1,,,T1,0.9,0.50,"10,11",2,"rm, 12% org, 10% fr. diatoms ac; pm, 40% org, 68% fr. diatoms be"
Oregon,Necanicum River Estuary,,,,2,,,?,0.5,0.50,11,3,pm ac; mp be
Oregon,Necanicum River Estuary,,,,3,,,?,1,0.50,11,3,rm ac; mp be
Oregon,Necanicum River Estuary,45.982,123.917,core 2,1,328-646,480plusMinus60,T1,0.57,0.50,20-22,3,"pm, 20% org, increased br. diatoms ac; mp, 37% org be (via 7 cm sd}"
Oregon,Necanicum River Estuary,,,,2,657-905,800plusMinus60,T2,0,0.50,21,3,mp ac; mp be
Oregon,Necanicum River Estuary,,,,3,832-1232,1100plusMinus70,T3,0.04,0.50,"21,22",3,pm ac; pm be (via 4 cm sd)
Oregon,Necanicum River Estuary,,,,4,1095-1410,1370plusMinus70,T4,0.05,0.50,"21,22",3,pm ac; pm be (via 5 cm sd)
Oregon,Necanicum River Estuary,,,,5,,,T5,0,0.50,"21,22",3,pm ac; pm be
Oregon,Necanicum River Estuary,,,,6,1814-2150,2000plusMinus70,T5a,1.2,0.50,"21,22",3,"m, increased br. diatoms ac; mp be"
Oregon,Necanicum River Estuary,45.983,123.918,core 5,1,,,T1,0.05,0.50,21,3,slpm ac; slpm be (via 5 cm sd)
Oregon,Necanicum River Estuary,,,,2,527-743,680plusMinus80,T2,0.06,0.50,21,3,slpm ac; slpm be (via 6 cm sd)
