  longitude       latitude       slip_rate       depth       slip_rate_error
  -125.170006       42.8566704       20.8286324       2.88966656       3.44680285    
  -124.671669       41.3876686       17.2172184       8.84833336       3.30758381    
  -124.822998       43.2383308       18.4512901       9.07833385       2.87550354    
  -124.884666       43.1936646       18.9747047       7.77566671       3.02867913    
  -124.724998       41.8216667       15.4072428       8.53133297       3.12414241    
  -124.782005       41.9016685       16.0577927       7.72166634       2.98356867    
  -124.792999       41.4589996       16.5185490       6.90566635       3.83169627    
  -124.918663       41.4203339       17.8888817       4.78733301       4.79099989    
  -123.976997       40.1489983       12.4021502       18.3333340       2.85443997    
  -126.122658       48.5333290       7.99334383       11.1833334       4.40075541    
  -125.623665       48.1106682       16.7229557       11.1266670       4.74757624    
  -127.075661       49.4406700       5.91799641       11.5376663       3.30244851    
  -125.945671       48.8526649       8.88716984       18.3563328       3.06023717    
  -126.430336       48.8480034       6.23356009       11.6949997       3.96208072    
  -126.806335       49.4759979       8.18501186       16.2693329       2.98338604    
  -123.870667       40.5110016       18.7847309       18.9036655       2.48331261    
  -126.793663       49.5789986       9.14755440       18.2043324       2.82528758    
  -127.087990       49.5496674       6.58186960       13.1853333       3.00313449    
  -126.266663       48.8096657       6.66815281       13.3846664       3.82953787    
  -126.270332       48.7006645       6.57146120       11.6896667       4.10140276    
  -126.115662       48.6416664       7.51009750       12.8730001       3.93385458    
  -126.948334       49.6186638       8.44841766       16.5186672       2.75924349    
  -126.929329       49.2956657       6.12433910       11.3983335       3.51642466    
  -126.948669       49.4066658       6.55245876       12.9359999       3.27117968    
  -126.697998       49.4073334       8.51825047       16.7670002       3.04274940    
  -123.915672       40.3226662       17.1072903       18.5803337       2.52826929    
  -123.966667       40.4230003       19.5306320       17.4840012       2.48652554    
  -123.917999       40.6106682       19.3981686       18.0683346       2.52665973    
  -124.051666       40.6503334       20.4549713       16.0550003       2.49687815    
  -124.641663       42.6763306       15.5494509       11.2363329       1.75107312    
  -126.788330       49.2886658       7.09609985       13.4336672       3.35786843    
  -126.575340       49.4129944       9.87985039       18.7020016       2.94788218    
  -126.464661       49.3163338       9.92774487       18.7020016       3.01422668    
  -124.029999       40.2386665       15.4624996       16.9136677       2.79058003    
  -123.845001       40.6906700       18.7191010       19.1646671       2.54876471    
  -127.226341       49.5859985       6.11593533       11.6476669       3.17312336    
  -127.116661       49.8759956       9.96106529       18.3373337       2.82927585    
  -124.957336       48.2183342       15.1629686       19.1103344       3.10093260    
  -126.948334       49.7236671       9.45364189       18.3143330       2.71833801    
  -125.909340       48.7610016       8.78580570       17.3533325       3.08623385    
  -125.834007       48.5919991       9.26331711       15.6780005       3.39770412    
  -125.972328       48.6736641       8.32444286       15.2033339       3.39196658    
  -126.704659       49.2049980       6.98015690       13.3180008       3.50677419    
  -126.741661       49.1133308       6.01090384       11.2826662       3.90604591    
  -124.300331       40.5989990       22.3800926       12.2316666       2.22136879    
  -124.151672       40.5713348       21.4500523       14.4686661       2.40285873    
  -124.053673       40.7623329       20.6665154       16.0813332       2.47784805    
  -127.392670       49.7386665       7.23343611       11.6706667       3.32266998    
  -127.106995       49.7696686       8.90992928       16.6516666       2.77042031    
  -127.245338       49.7010002       7.17557907       13.3183336       2.96698666    
  -124.340332       45.2033348       17.1876297       18.9203339       2.47985363    
  -124.751335       45.0783348       20.8695621       12.2360001       3.71472597    
  -124.817329       45.1836662       21.5901337       11.1716661       3.97220397    
  -124.341667       44.6519966       16.2453518       18.8710003       2.43225837    
  -126.107666       48.8843346       8.03054333       16.7180004       3.33981681    
  -124.374329       40.5079994       26.7788200       10.9116669       2.26874804    
  -124.113991       40.4436646       21.7884827       15.0623331       2.48789573    
  -123.863991       40.8646660       19.3030567       18.9300003       2.57700086    
  -123.917999       40.7830009       19.4959393       18.0946674       2.52915978    
  -124.380005       40.7056694       22.4192295       11.3199997       2.43319321    
  -125.372658       48.4446678       13.1204081       18.6096668       3.17790747    
  -125.564674       48.5909996       11.2881556       18.8309994       3.07334757    
  -125.530334       48.4750023       11.7214203       17.4406681       3.24513817    
  -125.743004       48.7336693       9.96929073       18.9969997       3.00842142    
  -125.710670       48.6343346       9.96869087       17.8280010       3.10234547    
  -125.967659       48.3756676       10.2920418       10.8983335       4.80231714    
  -125.857666       48.2810020       11.9882288       10.8983335       4.88582945    
  -125.668663       48.4153328       11.3168325       15.0056658       3.73909211    
  -124.533333       45.3006630       18.5273418       15.6549997       2.71765208    
  -124.598328       45.2406654       19.4340858       14.6426668       2.92863512    
  -124.083656       42.2949982       10.4551477       19.1483326       2.42277956    
  -125.407005       48.2410011       15.2122593       15.3123350       3.77314544    
  -125.322662       48.3373375       14.1510611       17.5189991       3.32119823    
  -124.294655       45.7410011       12.7210684       18.9540005       2.41351295    
  -124.289001       42.1889992       12.5972176       16.0693340       2.21430445    
  -124.333656       44.4856682       16.9567509       18.8956661       2.41586637    
  -124.411659       44.3986664       17.4218140       17.5276661       2.46861529    
  -123.942665       41.5783348       16.3569298       19.1396656       2.77359009    
  -124.320671       40.8096657       22.5223503       12.4193335       2.33305240    
  -124.159996       40.8349953       21.7027111       14.6826668       2.35116076    
  -124.825005       44.9956665       21.0157566       11.0643339       4.00011826    
  -126.638329       49.0146675       5.95248508       11.2826662       4.00359249    
  -126.503662       49.2270012       8.66193390       16.6513348       3.19213581    
  -124.293335       43.8940010       18.2395325       18.9463329       2.65026045    
  -124.738670       45.2619972       21.0663567       12.3889999       3.63896751    
  -125.158997       48.3286629       14.5099010       18.9093342       3.21379423    
  -125.110329       48.2313347       15.3912210       18.0196667       3.19797754    
  -123.925331       41.4006653       18.5551643       18.9506664       2.90967393    
  -124.002342       41.3016663       19.4108982       17.7296658       2.88499808    
  -124.407677       45.1263313       17.7200165       17.8286667       2.53884959    
  -124.612335       45.0633354       19.5874271       14.4776678       3.09525132    
  -124.538002       45.1473351       19.0698509       15.6669998       2.82822895    
  -124.558678       44.9510002       18.7912350       15.3596659       2.89458108    
  -124.355324       44.8333321       16.3274555       18.7203331       2.49914074    
  -124.420998       44.7420006       16.6584702       17.5913334       2.48713088    
  -124.808662       44.6549988       19.2051849       11.2150002       3.83998752    
  -124.548004       44.7153320       17.6697884       15.4729996       2.60763335    
  -124.195335       42.8436699       9.87080193       18.8519993       2.28100348    
  -124.344666       45.0290031       16.9146500       18.9083328       2.51795554    
  -124.421333       44.9376678       17.2633324       17.6286678       2.54703856    
  -124.405334       44.5756683       16.7619228       17.7666683       2.39569712    
  -124.534340       44.6093330       17.4418716       15.6483345       2.56461024    
  -124.006996       41.4836693       17.0084457       18.0903339       2.77165556    
  -124.167664       41.4873352       15.8390093       16.0473328       2.53718352    
  -124.582664       41.6343346       14.2222900       10.8896666       2.78725028    
  -124.480003       41.5750008       14.1692543       12.1800003       2.51985741    
  -124.434998       40.8963356       23.7150650       11.0993338       2.62225938    
  -126.117332       48.9956665       8.76039219       18.3616657       3.21713948    
  -124.062004       42.1126671       11.4832859       18.9566669       2.38419986    
  -124.142662       42.1943359       11.3786135       18.1050014       2.37826252    
  -124.044670       41.6599998       14.9024496       18.0380001       2.58865857    
  -124.638672       44.8733330       19.1869392       14.0486670       3.14685130    
  -124.627342       44.7726631       18.6921558       14.1993332       3.00859118    
  -124.368996       42.7346687       10.9313183       15.9143333       2.11150098    
